F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
10.995043618514,58.114599779952,129.5,123.3,783.61,190.79,63326.0,14.0,3.2047,133.0
10.748815251519,57.541228310551,120.0,122.14,762.13,187.42,61750.0,14.0,3.2304,134.5
10.739344929712,57.055320285635,120.75,122.03,762.02,190.56,61598.0,14.0,3.2443,135.0
10.966632653092,58.717125730848,122.15,124.58,782.52,193.21,64051.0,14.0,3.2018,131.3
10.871929435017,58.76571653334,124.22,124.34,790.51,194.94,64157.0,14.0,3.2018,130.0
10.966632653092,58.47417171839,123.18,122.19,785.31,190.06,63258.0,14.0,3.2252,131.0
11.307564238162,57.045602125137,120.8,115.42,762.56,185.35,61200.0,14.0,3.3098,135.5
11.629555179617,57.356583261083,119.02,114.78,754.02,188.56,59183.0,14.0,3.4371,134.0
11.421208099852,56.481948816234,115.08,113.38,736.08,181.45,59657.0,14.0,3.444,134.0
11.364386169007,58.352857314303,116.34,115.19,764.48,183.93,60759.0,14.0,3.4177,134.4
11.24127198551,59.321328877441,117.79,115.03,771.23,188.66,59770.0,14.0,3.4046,133.0
11.137098445627,59.037635187228,117.02,115.21,760.54,185.02,59961.0,14.0,3.3911,131.2
11.16550941105,59.53654478036,121.77,117.96,769.2,184.52,61070.0,14.0,3.3511,130.0
11.260212629125,59.790890847447,121.47,118.04,768.27,191.17,61954.0,14.0,3.347,129.3
11.269682950932,59.086547892437,120.84,117.69,760.99,193.14,61985.0,14.0,3.3921,128.92
11.402267456237,59.213720925981,120.38,117.41,761.68,196.65,61559.0,14.0,3.4273,130.0
11.288623594547,59.291981254315,120.41,116.93,768.24,196.12,62855.0,14.0,3.399,128.5
11.288623594547,59.761543224321,120.87,117.51,770.84,189.57,60986.0,14.0,3.4054,129.0
11.326504881777,58.949592317852,118.42,117.0,758.04,189.4,61906.0,14.0,3.3961,127.0
11.77161000673,57.912642967422,115.1,117.22,747.92,181.88,59506.0,13.75,3.4356,129.5
11.591673892387,57.961555672631,115.4,120.81,750.5,181.47,60316.0,13.75,3.4644,130.49
11.781080328537,58.910462153685,117.43,119.16,762.52,186.8,59831.0,13.75,3.4592,128.7
11.894724190227,58.646333545557,117.31,124.57,759.11,185.85,61088.0,13.75,3.4348,127.0
12.368240280603,60.035454373491,117.95,125.39,771.19,193.15,61414.0,13.75,3.3889,127.0
12.33982931518,59.683282895987,118.91,123.24,776.42,192.29,60676.0,13.75,3.4002,127.0
12.472413820485,60.622406835999,119.68,122.88,789.29,192.18,60500.0,13.75,3.3852,125.8
12.140952557223,60.818057656835,117.77,122.83,789.27,192.43,59178.0,13.75,3.3691,124.5
12.093600948185,61.61044348122,120.31,123.78,796.1,198.15,59280.0,13.75,3.3334,123.3
11.866313224805,61.316967249967,120.21,123.44,797.07,198.69,58212.0,13.75,3.3097,123.9
11.913664833842,61.219141839549,120.57,125.0,797.85,197.58,58396.0,13.75,3.3824,122.2
11.96101644288,60.945230690378,119.87,124.22,790.8,202.49,58389.0,13.75,3.3706,123.2
12.103071269993,62.158265779561,119.09,125.12,796.42,208.79,57582.0,13.75,3.358,121.4
11.970486764688,62.158265779561,119.04,126.5,794.56,207.7,57646.0,13.75,3.3291,120.0
11.743199041307,62.168048320603,117.4,125.58,791.26,208.45,57255.0,13.75,3.3296,119.5
11.800020972152,61.864789548307,117.27,125.59,789.91,213.34,57937.0,13.75,3.269,117.71
11.7337287195,61.903919712474,118.01,128.35,791.55,219.53,58696.0,13.75,3.277,119.0
11.601144214195,61.620226022262,116.92,125.89,785.05,219.74,59781.0,13.75,3.2768,119.02
11.58220357058,61.532183152886,116.35,125.33,782.79,214.68,60227.0,13.75,3.2585,118.8
11.92313515565,61.219141839549,116.86,127.49,786.14,216.99,61813.0,13.75,3.2626,121.1
12.472413820485,60.945230690378,118.69,129.41,786.9,226.99,61589.0,13.75,3.2327,120.1
12.093600948185,60.945230690378,120.67,131.81,794.02,226.75,62070.0,13.75,3.2123,120.8
12.084130626378,61.473487906635,123.41,131.07,806.15,229.01,61665.0,13.75,3.2051,120.43
11.96101644288,61.277837085799,124.9,130.95,806.65,231.28,61700.0,13.75,3.2091,121.4
12.169363522645,61.258272003716,124.35,129.89,804.79,229.87,62131.0,13.75,3.1912,121.6
11.99889773011,61.815876843098,126.09,130.5,807.91,229.73,62446.0,13.75,3.2148,121.3
11.92313515565,61.248489462674,126.62,129.18,806.36,229.59,63953.0,13.0,3.1655,120.8
11.96101644288,61.33653233205,128.34,133.7,807.88,237.75,63651.0,13.0,3.2028,123.0
11.942075799265,61.17022913434,127.87,132.89,804.61,235.58,64354.0,13.0,3.2094,124.0
11.942075799265,61.140881511214,127.92,133.26,806.07,238.36,64149.0,13.0,3.2205,125.0
11.961321690964,60.945230690378,127.55,138.41,802.175,243.76,63950.0,13.0,3.2107,123.5
11.893961070017,61.375662496217,127.04,138.6,805.02,244.73,64521.0,13.0,3.1912,123.0
